City,Customer ID,Email Address,First Name,Last Name,Phone,State,Street,Zip Code
Lansing,AB959,congue.a@lorem.edu,Arden,Bennett,(959) 194-1875,MI,467 Velit. Road,32618
Springfield,AE177,Aliquam.fringilla.cursus@necmalesuada.org,Astra,Edwards,(177) 600-1729,MA,"P.O. Box 196, 9542 A Road",45487
Covington,AF146,molestie@mattis.edu,Ayanna,Foreman,(146) 146-9356,KY,1690 Consectetuer Rd.,91314
Athens,AJ342,in@dictum.org,Adena,Jenkins,(342) 731-9079,GA,Ap #912-9572 Nunc Rd.,93325
Montpelier,AL696,per.conubia.nostra@neque.org,Adara,Langley,(696) 810-8990,VT,"P.O. Box 364, 576 Dui Road",66450
Fort Smith,AO423,egestas.a@sapien.edu,Anastasia,Owens,(423) 401-3016,AR,Ap #768-1320 Sociis Avenue,72182
Bowling Green,AP383,amet.massa@Maurisvestibulumneque.net,Amena,Petersen,(383) 554-7219,KY,"P.O. Box 116, 1182 Arcu St.",98968
Lincoln,AW191,Suspendisse.commodo@egestasrhoncus.ca,Amery,Washington,(191) 476-0002,NE,Ap #921-1871 Nulla Road,52207
Jonesboro,BA261,amet.consectetuer.adipiscing@vestibulum.com,Blaine,Ashley,(261) 759-5806,AR,7896 Pede St.,72875
Hattiesburg,BC544,magna.Phasellus@Phasellus.net,Brock,Case,(544) 534-1984,MS,513 Magna. Road,34843
Augusta,BH538,ultricies.ornare.elit@Mauris.ca,Barrett,Howell,(538) 115-5665,GA,Ap #778-6520 Orci. Road,99188
Kenosha,BL360,et.malesuada@consequat.net,Brody,Love,(360) 338-4848,WI,"Ap #395-1618 Non, Av.",26992
Columbia,BM992,Proin.vel.nisl@enim.ca,Benjamin,Miranda,(992) 329-4925,MD,"P.O. Box 311, 2133 Nec, St.",82356
Lawton,BP340,sit@vitaealiquetnec.net,Brooke,Perkins,(340) 732-9367,OK,Ap #164-3678 Scelerisque Street,14573
Augusta,CA368,gravida.sit@miAliquam.net,Cailin,Alford,(368) 400-8301,GA,495-3046 Erat Rd.,29616
Tulsa,CB608,felis@eros.net,Chester,Best,(608) 587-5791,OK,Ap #968-7278 In Avenue,43225
